<config.params object at 0x7ff5fde30d30>
best_epoch 1, best_loss: 6.32080546
Train 88, loss: 0.01221296
best_epoch 1, best_loss: 6.32080546
Train 89, loss: 0.01210654
best_epoch 1, best_loss: 6.32080546
Train 90, loss: 0.01202929
best_epoch 1, best_loss: 6.32080546
Train 91, loss: 0.01201853
best_epoch 1, best_loss: 6.32080546
Train 92, loss: 0.01198018
best_epoch 1, best_loss: 6.32080546
Train 93, loss: 0.01198134
best_epoch 1, best_loss: 6.32080546
Train 94, loss: 0.01198724
best_epoch 1, best_loss: 6.32080546
Train 95, loss: 0.01196482
best_epoch 1, best_loss: 6.32080546
Train 96, loss: 0.01191424
best_epoch 1, best_loss: 6.32080546
Train 97, loss: 0.01190427
best_epoch 1, best_loss: 6.32080546
Train 98, loss: 0.01190438
best_epoch 1, best_loss: 6.32080546
Train 99, loss: 0.01192775
best_epoch 1, best_loss: 6.32080546
Train 100, loss: 0.01191529
best_epoch 1, best_loss: 6.32080546
Train 101, loss: 0.01191378
best_epoch 1, best_loss: 6.32080546
Train 102, loss: 0.01193437
best_epoch 1, best_loss: 6.32080546
Train 103, loss: 0.01190536
best_epoch 1, best_loss: 6.32080546
Train 104, loss: 0.01189048
best_epoch 1, best_loss: 6.32080546
Train 105, loss: 0.01188509
best_epoch 1, best_loss: 6.32080546
Train 106, loss: 0.01187694
best_epoch 1, best_loss: 6.32080546
Train 107, loss: 0.01188197
best_epoch 1, best_loss: 6.32080546
Train 108, loss: 0.01187875
best_epoch 1, best_loss: 6.32080546
Train 109, loss: 0.01189385
best_epoch 1, best_loss: 6.32080546
Train 110, loss: 0.01188524
best_epoch 1, best_loss: 6.32080546
Train 111, loss: 0.01191472
best_epoch 1, best_loss: 6.32080546
Train 112, loss: 0.01186049
best_epoch 1, best_loss: 6.32080546
Train 113, loss: 0.01189226
best_epoch 1, best_loss: 6.32080546
Train 114, loss: 0.01189015
best_epoch 1, best_loss: 6.32080546
<config.params object at 0x7fec483d4df0>
<config.params object at 0x7f925bc8adf0>
Train 1, loss: 0.02363826
best_epoch 1, best_loss: 33.73016634
Train 2, loss: 0.02180974
best_epoch 2, best_loss: 27.55130429
Train 3, loss: 0.02119547
best_epoch 2, best_loss: 27.55130429
Train 4, loss: 0.02056153
best_epoch 4, best_loss: 26.73575010
Train 5, loss: 0.02032872
best_epoch 4, best_loss: 26.73575010
Train 6, loss: 0.02005266
best_epoch 6, best_loss: 20.19115284
Train 7, loss: 0.01996665
best_epoch 6, best_loss: 20.19115284
Train 8, loss: 0.01969910
best_epoch 6, best_loss: 20.19115284
Train 9, loss: 0.01987366
best_epoch 6, best_loss: 20.19115284
Train 10, loss: 0.01939687
best_epoch 6, best_loss: 20.19115284
Train 11, loss: 0.02047295
best_epoch 6, best_loss: 20.19115284
Train 12, loss: 0.02116380
best_epoch 6, best_loss: 20.19115284
Train 13, loss: 0.02056919
best_epoch 6, best_loss: 20.19115284
Train 14, loss: 0.02028122
best_epoch 6, best_loss: 20.19115284
Train 15, loss: 0.01990167
best_epoch 6, best_loss: 20.19115284
Train 16, loss: 0.01972415
best_epoch 6, best_loss: 20.19115284
Train 17, loss: 0.01992473
best_epoch 6, best_loss: 20.19115284
Train 18, loss: 0.01968653
best_epoch 6, best_loss: 20.19115284
Train 19, loss: 0.01962630
best_epoch 6, best_loss: 20.19115284
Train 20, loss: 0.02052986
best_epoch 6, best_loss: 20.19115284
Train 21, loss: 0.02041049
best_epoch 6, best_loss: 20.19115284
Train 22, loss: 0.02068138
best_epoch 6, best_loss: 20.19115284
Train 23, loss: 0.01977390
best_epoch 6, best_loss: 20.19115284
Train 24, loss: 0.01940023
best_epoch 6, best_loss: 20.19115284
Train 25, loss: 0.01947195
best_epoch 6, best_loss: 20.19115284
Train 26, loss: 0.01884419
best_epoch 6, best_loss: 20.19115284
Train 27, loss: 0.01893124
best_epoch 6, best_loss: 20.19115284
Train 28, loss: 0.01886930
best_epoch 6, best_loss: 20.19115284
Train 29, loss: 0.01864776
best_epoch 6, best_loss: 20.19115284
Train 30, loss: 0.01861253
best_epoch 6, best_loss: 20.19115284
Train 31, loss: 0.01790343
best_epoch 6, best_loss: 20.19115284
Train 32, loss: 0.01963928
best_epoch 6, best_loss: 20.19115284
Train 33, loss: 0.02016983
best_epoch 6, best_loss: 20.19115284
Train 34, loss: 0.01884958
best_epoch 6, best_loss: 20.19115284
Train 35, loss: 0.01830927
best_epoch 6, best_loss: 20.19115284
Train 36, loss: 0.01801264
best_epoch 6, best_loss: 20.19115284
Train 37, loss: 0.01822718
best_epoch 6, best_loss: 20.19115284
Train 38, loss: 0.01909150
best_epoch 6, best_loss: 20.19115284
Train 39, loss: 0.02031239
best_epoch 6, best_loss: 20.19115284
Train 40, loss: 0.01977614
best_epoch 6, best_loss: 20.19115284
Train 41, loss: 0.01972219
best_epoch 6, best_loss: 20.19115284
Train 42, loss: 0.01893955
best_epoch 6, best_loss: 20.19115284
Train 43, loss: 0.01835721
best_epoch 6, best_loss: 20.19115284
Train 44, loss: 0.01851026
best_epoch 6, best_loss: 20.19115284
Train 45, loss: 0.01853949
best_epoch 6, best_loss: 20.19115284
Train 46, loss: 0.01820976
best_epoch 6, best_loss: 20.19115284
Train 47, loss: 0.01803809
best_epoch 6, best_loss: 20.19115284
Train 48, loss: 0.01942816
best_epoch 6, best_loss: 20.19115284
Train 49, loss: 0.02012221
best_epoch 6, best_loss: 20.19115284
Train 50, loss: 0.01873187
best_epoch 6, best_loss: 20.19115284
Train 51, loss: 0.01827110
best_epoch 6, best_loss: 20.19115284
Train 52, loss: 0.01819821
best_epoch 6, best_loss: 20.19115284
Train 53, loss: 0.01800377
best_epoch 6, best_loss: 20.19115284
